"STATEFP","state","blocks","zero_blocks","pop","pct_zero"
"02","Alaska",28568,16803,733391,58.82
"56","Wyoming",53769,30912,576851,57.49
"38","North Dakota",84566,44368,779094,52.47
"30","Montana",88417,44700,1084225,50.56
"35","New Mexico",107215,50610,2117522,47.2
"16","Idaho",81879,35745,1839106,43.66
"46","South Dakota",71383,30617,886667,42.89
"41","Oregon",130807,51726,4237256,39.54
"32","Nevada",57409,22160,3104614,38.6
"20","Kansas",172529,63380,2937880,36.74
"22","Louisiana",142874,50694,4657757,35.48
"05","Arkansas",136422,48301,3011524,35.41
"23","Maine",47138,16590,1362359,35.19
"49","Utah",71207,24415,3271616,34.29
"29","Missouri",253632,84628,6154913,33.37
"31","Nebraska",119103,39324,1961504,33.02
"48","Texas",668757,219672,29145505,32.85
"40","Oklahoma",180154,58328,3959353,32.38
"28","Mississippi",112241,34815,2961279,31.02
"01","Alabama",185976,57610,5024279,30.98
"15","Hawaii",14732,4563,1455271,30.97
"21","Kentucky",132662,41090,4505836,30.97
"27","Minnesota",198705,61016,5706494,30.71
"04","Arizona",155444,47506,7151502,30.56
"53","Washington",158093,46652,7705281,29.51
"19","Iowa",175199,51024,3190369,29.12
"13","Georgia",232717,67384,10711908,28.96
"08","Colorado",140345,40446,5773714,28.82
"55","Wisconsin",203059,58111,5893718,28.62
"54","West Virginia",72558,20708,1793716,28.54
"51","Virginia",163491,46130,8631393,28.22
"45","South Carolina",146844,41375,5118425,28.18
"06","California",519723,142132,39538223,27.35
"50","Vermont",24611,6635,643077,26.96
"37","North Carolina",236638,61650,10439388,26.05
"12","Florida",390066,100414,21538187,25.74
"47","Tennessee",179717,45871,6910840,25.52
"11","District of Columbia",6012,1512,689545,25.15
"17","Illinois",369978,91812,12812508,24.82
"10","Delaware",20198,4881,989948,24.17
"26","Michigan",254730,56486,10077331,22.17
"24","Maryland",83827,18553,6177224,22.13
"33","New Hampshire",31948,6631,1377529,20.76
"39","Ohio",276428,56759,11799448,20.53
"18","Indiana",204568,41829,6785528,20.45
"36","New York",288819,58480,20201249,20.25
"42","Pennsylvania",336985,61962,13002700,18.39
"34","New Jersey",137972,24760,9288994,17.95
"25","Massachusetts",107278,19071,7029917,17.78
"44","Rhode Island",25649,4267,1097379,16.64
"09","Connecticut",49926,7918,3605944,15.86
"72","Puerto Rico",41987,5417,3285874,12.9
